,Luz (lux)
1822,14788
1823,13516
1824,22417
1825,25655
1826,27446
1827,27139
1828,11810
1829,36765
1830,48697
1831,48697
1832,30029
1833,12777
1834,49804
1835,51513
1836,8150
1837,5751
1838,3468
1839,1578
1840,513
1841,209
1842,86
1843,1
1844,1
1845,1
1846,1
1847,1
1848,1
1849,1
1850,1
1851,1
1852,1
1853,1
1854,1
1855,1
1856,1
1857,1
1858,1
1859,1
1860,1
1861,1
1862,1
1863,1
1864,1
1865,75
1866,2163
1867,5498
1868,10204
1869,12354
1870,13516
1871,24253
1872,23714
1873,28070
1874,34755
1875,33982
1876,43032
1877,48697
1878,25369
1879,47614
1880,45011
1881,49804
1882,49804
1883,51513
1884,45520
1885,41139
1886,33226
1887,28387
1888,18727
1889,10917
1890,1219
1891,7
1892,1
1893,1
1894,1
1895,1
1896,1
1897,1
1898,1
1899,1
1900,1
1901,1
1902,1
1903,1
1904,1
1905,1
1906,1
1907,1
1908,1
1909,1
1910,1
1911,1
1912,1
1913,54
1914,1178
1915,6582
1916,11040
1917,21674
1918,27756
1919,29361
1920,25369
1921,12635
1922,9327
1923,16548
1924,25946
1925,25085
1926,14298
1927,19153
1928,38891
1929,50367
1930,53280
1931,47614
1932,24527
1933,39775
1934,15296
1935,6364
1936,1651
1937,316
1938,10
1939,1
1940,1
1941,1
1942,1
1943,1
1944,1
1945,1
1946,1
1947,1
1948,1
1949,1
1950,1
1951,1
1952,1
1953,1
1954,1
1955,1
1956,1
1957,1
1958,1
1959,1
1960,1
1961,73
1962,1233
1963,5257
1964,7791
1965,8817
1966,7879
1967,21432
1968,35947
1969,29361
1970,32488
1971,40225
1972,31059
1973,43518
1974,42075
1975,38456
1976,46555
1977,35148
1978,34366
1979,30712
1980,26536
1981,21919
1982,16363
1983,9756
1984,7201
1985,3710
1986,283
1987,1
1988,1
1989,1
1990,1
1991,1
1992,1
1993,1
1994,1
1995,1
1996,1
1997,1
1998,1
1999,1
2000,1
2001,1
2002,1
2003,1
2004,1
2005,1
2006,1
2007,1
2008,1
2009,52
2010,2340
2011,6508
2012,12635
2013,20489
2014,27139
2015,31765
2016,32124
2017,29033
2018,37180
2019,35947
2020,39775
2021,28387
2022,43032
2023,38891
2024,47614
2025,50367
2026,46035
2027,39330
2028,44010
2029,23449
2030,14138
2031,3064
2032,1364
2033,574
2034,159
2035,2
2036,1
2037,1
2038,1
2039,1
2040,1
2041,1
2042,1
2043,1
2044,1
2045,1
2046,1
2047,1
2048,1
2049,1
2050,1
2051,1
2052,1
2053,1
2054,1
2055,1
2056,1
2057,52
2058,2366
2059,7618
2060,7365
2061,7041
2062,37601
2063,29033
2064,25655
2065,27139
2066,27446
2067,30029
2068,29361
2069,34366
2070,48697
2071,47614
2072,48152
2073,45011
2074,47614
2075,27756
2076,22167
2077,36765
2078,31410
2079,21674
2080,19369
2081,5561
2082,1152
2083,6
2084,1
2085,1
2086,1
2087,1
2088,1
2089,1
2090,1
2091,1
2092,1
2093,1
2094,1
2095,1
2096,1
2097,1
2098,1
2099,1
2100,1
2101,1
2102,1
2103,1
2104,1
2105,107
2106,3099
2107,4859
2108,14138
2109,6656
2110,13824
2111,11548
2112,18310
2113,25369
2114,31410
2115,23714
2116,28708
2117,35947
2118,21674
2119,7791
2120,14956
2121,12922
2122,13669
2123,13216
2124,21432
2125,19588
2126,10436
2127,5140
2128,2930
2129,2393
2130,760
2131,4
2132,1
2133,1
2134,1
2135,1
2136,1
2137,1
2138,1
2139,1
2140,1
2141,1
2142,1
2143,1
2144,1
2145,1
2146,1
2147,1
2148,1
2149,1
2150,1
2151,1
2152,1
2153,41
2154,433
2155,2678
2156,2801
2157,7879
2158,16180
2159,12354
2160,19588
2161,17116
2162,14138
2163,9222
2164,14788
2165,23714
2166,35148
2167,31059
2168,28708
2169,21919
2170,23186
2171,22927
2172,27756
2173,29361
2174,23714
2175,18727
2176,10795
2177,4859
2178,1030
2179,5
2180,1
2181,1
2182,1
2183,1
2184,1
2185,1
2186,1
2187,1
2188,1
2189,1
2190,1
2191,1
2192,1
2193,1
2194,1
2195,1
2196,1
2197,1
2198,1
2199,1
2200,1
2201,61
2202,3391
2203,5949
2204,5257
2205,9222
2206,11944
2207,9432
2208,12493
2209,22167
2210,37601
2211,24527
2212,38026
2213,39330
2214,46035
2215,44508
2216,46555
2217,47614
2218,29693
2219,38891
2220,24253
2221,15820
2222,11291
2223,8242
2224,1509
2225,555
2226,73
2227,1
2228,1
2229,1
2230,1
2231,1
2232,1
2233,1
2234,1
2235,1
2236,1
2237,1
2238,1
2239,1
2240,1
2241,1
2242,1
2243,1
2244,1
2245,1
2246,1
2247,1
2248,1
2249,86
2250,1543
2251,6656
2252,11678
2253,20034
2254,22927
2255,23186
2256,17116
2257,39330
2258,26239
2259,38026
2260,46035
2261,44010
2262,45520
2263,47082
2264,46555
2265,45520
2266,30712
2267,46035
2268,45520
2269,43032
2270,41605
2271,27446
2272,16363
2273,12493
2274,1848
2275,12
2276,1
2277,1
2278,1
2279,1
2280,1
2281,1
2282,1
2283,1
2284,1
2285,1
2286,1
2287,1
2288,1
2289,1
2290,1
2291,1
2292,1
2293,1
2294,1
2295,1
2296,1
2297,15
2298,443
2299,1561
2300,4751
2301,6508
2302,8621
2303,11678
2304,7968
2305,9222
2306,15469
2307,22167
2308,24527
2309,36765
2310,32488
2311,38456
2312,32855
2313,23982
2314,29361
2315,27756
2316,23714
2317,28387
2318,34755
2319,24527
2320,17505
2321,14298
2322,1999
2323,10
2324,1
2325,1
2326,1
2327,1
2328,1
2329,1
2330,1
2331,1
2332,1
2333,1
2334,1
2335,1
2336,1
2337,1
2338,1
2339,1
2340,1
2341,1
2342,1
2343,1
2344,1
2345,83
2346,1651
2347,5882
2348,9017
2349,16180
2350,13068
2351,17703
2352,24527
2353,19369
2354,22927
2355,23186
2356,24527
2357,33982
2358,42075
2359,32124
2360,30712
2361,20955
2362,26836
2363,30712
2364,35148
2365,38456
2366,12777
2367,10204
2368,4542
2369,4151
2370,1077
2371,7
2372,1
2373,1
2374,1
2375,1
2376,1
2377,1
2378,1
2379,1
2380,1
2381,1
2382,1
2383,1
2384,1
2385,1
2386,1
2387,1
2388,1
2389,1
2390,1
2391,1
2392,1
2393,49
2394,1275
2395,5140
2396,9978
2397,14460
2398,20955
2399,16363
2400,37180
2401,23186
2402,32124
2403,40679
2404,44010
2405,21192
2406,26239
2407,44508
2408,16735
2409,4198
2410,8524
2411,10795
2412,12493
2413,12216
2414,10436
2415,8150
2416,3837
2417,594
2418,323
2419,4
2420,1
2421,1
2422,1
2423,1
2424,1
2425,1
2426,1
2427,1
2428,1
2429,1
2430,1
2431,1
2432,1
2433,1
2434,1
2435,1
2436,1
2437,1
2438,1
2439,1
2440,1
2441,66
2442,1596
2443,5025
2444,9432
2445,15296
2446,19810
2447,17703
2448,22167
2449,25369
2450,28387
2451,25655
2452,31410
2453,39775
2454,43032
2455,45011
2456,44010
2457,39330
2458,31765
2459,32124
2460,29693
2461,22417
2462,13216
2463,11944
2464,8817
2465,4198
2466,890
2467,2
2468,1
2469,1
2470,1
2471,1
2472,1
2473,1
2474,1
2475,1
2476,1
2477,1
2478,1
2479,1
2480,1
2481,1
2482,1
2483,1
2484,1
2485,1
2486,1
2487,1
2488,1
2489,44
2490,735
2491,2163
2492,5751
2493,12777
2494,16924
2495,20489
2496,31059
2497,38456
2498,37601
2499,32855
2500,43032
2501,30712
2502,44508
2503,42075
2504,43032
2505,30712
2506,25369
2507,21432
2508,22167
2509,14138
2510,11040
2511,10795
2512,8335
2513,3547
2514,555
2515,8
2516,1
2517,1
2518,1
2519,1
2520,1
2521,1
2522,1
2523,1
2524,1
2525,1
2526,1
2527,1
2528,1
2529,1
2530,1
2531,1
2532,1
2533,1
2534,1
2535,1
2536,1
2537,81
2538,4198
2539,10436
2540,11944
2541,20955
2542,21432
2543,23714
2544,13824
2545,15469
2546,26536
2547,21674
2548,22671
2549,42551
2550,40679
2551,22927
2552,25946
2553,53280
2554,46035
2555,43032
2556,39775
2557,22417
2558,5437
2559,13824
2560,9327
2561,2963
2562,485
2563,3
2564,1
2565,1
2566,1
2567,1
2568,1
2569,1
2570,1
2571,1
2572,1
2573,1
2574,1
2575,1
2576,1
2577,1
2578,1
2579,1
2580,1
2581,1
2582,1
2583,1
2584,1
2585,49
2586,1030
2587,8335
2588,7041
2589,9327
2590,7879
2591,13980
2592,26536
2593,39330
2594,26536
2595,35947
2596,38891
2597,30029
2598,34755
2599,49247
2600,24527
2601,52684
2602,47082
2603,29693
2604,24253
2605,43032
2606,27756
2607,32488
2608,18106
2609,6016
2610,687
2611,6
2612,1
2613,1
2614,1
2615,1
2616,1
2617,1
2618,1
2619,1
2620,1
2621,1
2622,1
2623,1
2624,1
2625,1
2626,1
2627,1
2628,1
2629,1
2630,1
2631,1
2632,1
2633,38
2634,2288
2635,6885
2636,12922
2637,11548
2638,17903
2639,22417
2640,26836
2641,35148
2642,34366
2643,40225
2644,31059
2645,42075
2646,37601
