,Velocidad del viento (Km/h)
1087,3.923705722
1088,2.1785173980000003
1089,1.222410866
1090,3.0508474580000002
1091,2.7906976739999996
1092,1.9022457069999998
1093,2.31511254
1094,2.696629213
1095,3.9560439560000003
1096,2.785299807
1097,1.7625458999999999
1098,5.353159851
1099,0.0
1100,0.0
1101,0.0
1102,0.0
1103,0.0
1104,0.0
1105,0.0
1106,0.0
1107,0.0
1108,0.0
1109,0.0
1110,0.0
1111,8.944099378999999
1112,0.0
1113,7.2
1114,0.0
1115,8.780487805
1116,0.0
1117,0.0
1118,0.0
1119,1.690140845
1120,1.5450643780000002
1121,1.97260274
1122,0.0
1123,1.4619289340000001
1124,2.594594595
1125,1.9538670280000001
1126,2.6086956519999998
1127,0.0
1128,2.3491027730000003
1129,1.451612903
1130,1.504702194
1131,0.0
1132,1.153846154
1133,2.025316456
1134,1.299638989
1135,2.264150943
1136,2.4870466319999998
1137,4.298507463
1138,0.0
1139,0.0
1140,1.313868613
1141,0.0
1142,1.674418605
1143,0.0
1144,3.018867925
1145,0.0
1146,0.0
1147,0.0
1148,0.0
1149,0.0
1150,0.0
1151,0.0
1152,0.0
1153,0.0
1154,0.0
1155,0.0
1156,0.0
1157,0.0
1158,0.0
1159,0.0
1160,0.0
1161,0.0
1162,0.0
1163,0.0
1164,0.0
1165,0.0
1166,0.0
1167,0.0
1168,0.0
1169,0.0
1170,0.0
1171,3.3103448280000003
1172,1.4457831330000002
1173,1.986206897
1174,3.564356436
1175,1.92
1176,1.146496815
1177,3.7305699480000003
1178,1.3162705670000001
1179,1.909814324
1180,0.0
1181,1.5221987319999999
1182,1.321100917
1183,35.12195122
1184,1.25
1185,6.315789474
1186,1.054945055
1187,1.053401609
1188,0.0
1189,0.0
1190,0.0
1191,0.0
1192,0.0
1193,0.0
1194,0.0
1195,0.0
1196,0.0
1197,0.0
1198,0.0
1199,0.0
1200,0.0
1201,0.0
1202,0.0
1203,0.0
1204,0.0
1205,0.0
1206,0.0
1207,0.0
1208,0.0
1209,0.0
1210,0.0
1211,0.0
1212,2.036775106
1213,0.0
1214,0.0
1215,0.0
1216,0.0
1217,0.0
1218,0.0
1219,0.0
1220,0.0
1221,0.0
1222,0.0
1223,1.4328358209999998
1224,0.0
1225,0.0
1226,6.127659574
1227,1.1774325429999999
1228,0.0
1229,3.75
1230,2.440677966
1231,0.0
1232,0.0
1233,2.885771543
1234,1.8997361480000001
1235,0.0
1236,0.0
1237,0.0
1238,1.16410671
1239,0.0
1240,0.0
1241,0.0
1242,3.063829787
1243,1.476923077
1244,0.0
1245,2.074927954
1246,1.608938547
1247,1.28342246
1248,2.686567164
1249,0.0
1250,0.0
1251,0.0
1252,0.0
1253,2.5
1254,1.0480349340000001
1255,2.632541133
1256,0.0
1257,0.0
1258,0.0
1259,0.0
1260,0.0
1261,3.789473684
1262,0.0
1263,1.417322835
1264,1.458966565
1265,3.6363636360000005
1266,1.627118644
1267,2.737642586
1268,0.0
1269,1.9225634180000002
1270,3.2653061219999997
1271,2.7118644069999998
1272,0.0
1273,0.0
1274,0.0
1275,1.8090452259999998
1276,4.337349398
1277,0.0
1278,1.2676056340000001
1279,0.0
1280,1.6308040769999999
1281,1.1419508329999999
1282,1.30198915
1283,0.0
1284,0.0
1285,1.24137931
1286,0.0
1287,0.0
1288,0.0
1289,0.0
1290,0.0
1291,0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,0.0
1303,0.0
1304,0.0
1305,0.0
1306,0.0
1307,0.0
1308,0.0
1309,0.0
1310,0.0
1311,0.0
1312,1.282279608
1313,0.0
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1318,2.057142857
