peso,fecha,nombreLote,numeroLote,lat,lng,nombreFinca
26.5,2018-08-02 13:04:01,5,5,7.76623098,-76.7626756,Porvenir
30,2018-08-02 13:04:02,5,5,7.76623098,-76.7626756,Porvenir
29,2018-08-02 13:04:04,5,5,7.76623098,-76.7626756,Porvenir
18,2018-08-02 13:04:05,5,5,7.76623098,-76.7626756,Porvenir
20,2018-08-02 13:04:07,5,5,7.76623098,-76.7626756,Porvenir
32.09,2018-08-02 13:37:59,5,5,7.76623098,-76.7626756,Porvenir
25.5,2018-08-02 13:38:01,5,5,7.76623098,-76.7626756,Porvenir
32.5,2018-08-02 13:38:03,5,5,7.76623098,-76.7626756,Porvenir
22.5,2018-08-02 13:38:04,5,5,7.76623098,-76.7626756,Porvenir
22,2018-08-02 13:38:06,5,5,7.76623098,-76.7626756,Porvenir
22,2018-08-02 13:38:08,5,5,7.76623098,-76.7626756,Porvenir
18.5,2018-08-02 13:38:09,5,5,7.76623098,-76.7626756,Porvenir
21,2018-08-02 13:38:11,5,5,7.76623098,-76.7626756,Porvenir
27,2018-08-02 13:38:12,5,5,7.76623098,-76.7626756,Porvenir
25.5,2018-08-02 13:38:14,5,5,7.76623098,-76.7626756,Porvenir
23.5,2018-08-02 13:38:16,5,5,7.76623098,-76.7626756,Porvenir
25.5,2018-08-02 13:38:17,5,5,7.76623098,-76.7626756,Porvenir
25,2018-08-02 13:38:19,5,5,7.76623098,-76.7626756,Porvenir
32,2018-08-02 13:38:20,5,5,7.76623098,-76.7626756,Porvenir
28.5,2018-08-02 13:38:22,5,5,7.76623098,-76.7626756,Porvenir
26,2018-08-02 13:38:24,5,5,7.76623098,-76.7626756,Porvenir
24.5,2018-08-02 13:38:25,5,5,7.76623098,-76.7626756,Porvenir
18.5,2018-08-02 13:38:26,5,5,7.76623098,-76.7626756,Porvenir
32.59,2018-08-02 14:17:27,5,5,7.76623098,-76.7626756,Porvenir
21,2018-08-02 14:17:29,5,5,7.76623098,-76.7626756,Porvenir
25,2018-08-02 14:17:31,5,5,7.76623098,-76.7626756,Porvenir
28,2018-08-02 14:17:32,5,5,7.76623098,-76.7626756,Porvenir
22,2018-08-02 14:17:34,5,5,7.76623098,-76.7626756,Porvenir
26,2018-08-02 14:17:36,5,5,7.76623098,-76.7626756,Porvenir
23.5,2018-08-02 14:17:37,5,5,7.76623098,-76.7626756,Porvenir
29,2018-08-02 14:17:39,5,5,7.76623098,-76.7626756,Porvenir
27.5,2018-08-02 14:17:41,5,5,7.76623098,-76.7626756,Porvenir
26,2018-08-02 14:17:43,5,5,7.76623098,-76.7626756,Porvenir
21,2018-08-02 14:17:45,5,5,7.76623098,-76.7626756,Porvenir
27,2018-08-02 14:17:47,5,5,7.76623098,-76.7626756,Porvenir
30,2018-08-02 14:17:49,5,5,7.76623098,-76.7626756,Porvenir
24,2018-08-02 14:17:51,5,5,7.76623098,-76.7626756,Porvenir
23,2018-08-02 14:17:53,5,5,7.76623098,-76.7626756,Porvenir
23.5,2018-08-02 14:17:55,5,5,7.76623098,-76.7626756,Porvenir
22,2018-08-02 14:17:57,5,5,7.76623098,-76.7626756,Porvenir
17.5,2018-08-02 14:17:59,5,5,7.76623098,-76.7626756,Porvenir
31,2018-08-02 14:18:01,5,5,7.76623098,-76.7626756,Porvenir
32.5,2018-08-02 14:18:03,5,5,7.76623098,-76.7626756,Porvenir
24,2018-08-02 14:18:04,5,5,7.76623098,-76.7626756,Porvenir
31,2018-08-02 14:18:06,5,5,7.76623098,-76.7626756,Porvenir
25,2018-08-02 14:18:08,5,5,7.76623098,-76.7626756,Porvenir
25,2018-08-02 14:18:10,5,5,7.76623098,-76.7626756,Porvenir
24,2018-08-02 14:18:12,5,5,7.76623098,-76.7626756,Porvenir
23.59,2018-08-02 14:46:09,5,5,7.76623098,-76.7626756,Porvenir
31.5,2018-08-02 14:46:10,5,5,7.76623098,-76.7626756,Porvenir
28.5,2018-08-02 14:46:11,5,5,7.76623098,-76.7626756,Porvenir
31.5,2018-08-02 14:46:13,5,5,7.76623098,-76.7626756,Porvenir
31,2018-08-02 14:46:15,5,5,7.76623098,-76.7626756,Porvenir
29.5,2018-08-02 14:46:17,5,5,7.76623098,-76.7626756,Porvenir
21,2018-08-02 14:46:22,5,5,7.76623098,-76.7626756,Porvenir
