Fecha:,Velocidad del viento (Km/h)
2018-07-08 01:44:58,1.148325359
2018-07-08 02:15:03,2.146050671
2018-07-08 02:45:04,0
2018-07-08 03:15:00,1.242450388
2018-07-08 03:45:04,0
2018-07-08 04:15:04,0
2018-07-08 04:45:01,1.129411765
2018-07-08 05:15:01,0
2018-07-08 05:45:00,0
2018-07-08 06:15:00,4.079320113
2018-07-08 06:44:57,1.649484536
2018-07-08 07:14:58,3.923705722
2018-07-08 07:45:00,3.47826087
2018-07-08 08:14:58,2.737642586
2018-07-08 08:44:59,2.102189781
2018-07-08 09:15:01,6.545454545
2018-07-08 09:44:59,2.98136646
2018-07-08 10:14:59,2.548672566
2018-07-08 10:45:01,4.090909091
2018-07-08 11:15:00,1.113689095
2018-07-08 11:45:00,4.079320113
2018-07-08 12:15:00,1.978021978
2018-07-08 12:45:02,3.486682809
2018-07-08 13:15:00,1.714285714
2018-07-08 13:44:58,3.64556962
2018-07-08 14:15:01,5.975103734
2018-07-08 14:44:57,2.201834862
2018-07-08 15:14:58,2.987551867
2018-07-08 15:44:57,5.052631579
2018-07-08 16:14:57,6
2018-07-08 16:44:58,2.874251497
2018-07-08 17:15:01,2.576028623
2018-07-08 17:44:58,2.274881517
2018-07-08 18:14:58,3.692307692
2018-07-08 18:45:04,2.5
2018-07-08 19:15:00,1.531914894
2018-07-08 19:45:04,1.541755889
2018-07-08 20:15:00,1.841432225
2018-07-08 20:45:00,8
2018-07-08 21:15:01,1.986206897
2018-07-08 21:45:02,1.836734694
2018-07-08 22:15:00,2.585278276
2018-07-08 22:45:02,5.274725275
2018-07-08 23:15:00,1.161290323
2018-07-08 23:44:57,2
2018-07-09 00:15:36,1.191066998
2018-07-09 00:45:00,1.956521739
2018-07-09 01:15:01,0
2018-07-09 01:44:57,2.517482517
2018-07-09 02:14:58,2.229102167
2018-07-09 02:45:02,0
2018-07-09 03:15:02,0
2018-07-09 03:45:01,5
2018-07-09 04:14:59,1.398058252
2018-07-09 04:44:59,1.531914894
2018-07-09 05:15:00,1.536819637
2018-07-09 05:45:02,2.019635344
2018-07-09 06:15:01,0
2018-07-09 06:45:01,0
2018-07-09 07:14:58,1.445783133
2018-07-09 07:45:02,1.877444589
2018-07-09 08:15:03,0
2018-07-09 08:44:58,1.641961231
2018-07-09 09:14:59,2.416107383
2018-07-09 09:45:00,1.016949153
2018-07-09 10:14:59,2.727272727
2018-07-09 10:44:58,1.570338059
2018-07-09 11:14:58,2.396006656
2018-07-09 11:45:01,4.247787611
2018-07-09 12:15:03,4.090909091
2018-07-09 12:45:03,1.498439126
2018-07-09 13:15:03,4.485981308
2018-07-09 13:45:01,1.445783133
2018-07-09 14:15:01,0
2018-07-09 14:45:03,1.268722467
2018-07-09 15:14:58,1.978021978
2018-07-09 15:45:00,1.732851986
2018-07-09 16:14:59,2.993762994
2018-07-09 16:45:31,0
2018-07-09 17:15:02,0
2018-07-09 17:44:58,1.240310078
2018-07-09 18:15:02,0
2018-07-09 18:45:02,0
2018-07-09 19:15:03,0
2018-07-09 19:45:02,0
2018-07-09 20:15:06,1.310282075
2018-07-09 20:45:03,0
2018-07-09 21:15:00,1.862871928
2018-07-09 21:44:59,0
2018-07-09 22:15:05,0
2018-07-09 22:45:01,0
2018-07-09 23:15:00,2.823529412
2018-07-09 23:45:00,0
2018-07-10 00:15:01,0
2018-07-10 00:45:01,0
2018-07-10 01:15:01,0
2018-07-10 01:45:02,0
2018-07-10 02:15:02,0
2018-07-10 02:45:02,0
2018-07-10 03:15:01,0
2018-07-10 03:45:01,0
2018-07-10 04:15:02,0
2018-07-10 04:45:05,0
2018-07-10 05:15:01,0
2018-07-10 05:45:04,0
2018-07-10 06:15:02,0
2018-07-10 06:44:59,1.766871166
2018-07-10 07:15:03,0
2018-07-10 07:44:59,1.904761905
2018-07-10 08:14:59,1.751824818
2018-07-10 08:45:00,2.326332795
2018-07-10 09:15:02,1.210084034
2018-07-10 09:45:03,2.469982847
2018-07-10 10:15:01,1.514195584
2018-07-10 10:45:03,1.938088829
2018-07-10 11:15:18,1.582417582
2018-07-10 11:45:03,1.006289308
2018-07-10 12:14:57,1.756097561
2018-07-10 12:44:58,1.161290323
2018-07-10 13:14:58,1.009110021
2018-07-10 13:45:02,0
2018-07-10 14:15:06,0
2018-07-10 14:44:59,1.340782123
2018-07-10 15:15:02,0
2018-07-10 15:45:03,0
2018-07-10 16:15:08,0
2018-07-10 16:45:03,0
2018-07-10 17:15:03,0
2018-07-10 17:45:03,0
2018-07-10 18:15:04,0
