,Luz (lux)
1383,1
1384,1
1385,1
1386,1
1387,1
1388,1
1389,1
1390,1
1391,1
1392,1
1393,1
1394,1
1395,1
1396,1
1397,1
1398,1
1399,1
1400,1
1401,1
1402,1
1403,1
1404,7
1405,1708
1406,7201
1407,12354
1408,20955
1409,28070
1410,22417
1411,38026
1412,35148
1413,40225
1414,45520
1415,43518
1416,33602
1417,35947
1418,33602
1419,44010
1420,41139
1421,35947
1422,24527
1423,26536
1424,18938
1425,15296
1426,12079
1427,5561
1428,1427
1429,7
1430,1
1431,1
1432,1
1433,1
1434,1
1435,1
1436,1
1437,1
1438,1
1439,1
1440,1
1441,1
1442,1
1443,1
1444,1
1445,1
1446,1
1447,1
1448,1
1449,1
1450,1
1451,1
1452,10
1453,1275
1454,4391
1455,8817
1456,7449
1457,24253
1458,30368
1459,23714
1460,25085
1461,43032
1462,27139
1463,27756
1464,29693
1465,39330
1466,43518
1467,52095
1468,47082
1469,43032
1470,35148
1471,29693
1472,17903
1473,9756
1474,5751
1475,2769
1476,410
1477,3
1478,1
1479,1
1480,1
1481,1
1482,1
1483,1
1484,1
1485,1
1486,1
1487,1
1488,1
1489,1
1490,1
1491,1
1492,1
1493,1
1494,1
1495,1
1496,1
1497,1
1498,1
1499,1
1500,6
1501,1689
1502,6364
1503,5437
1504,13216
1505,9539
1506,33982
1507,25085
1508,15820
1509,37601
1510,22167
1511,42075
1512,24253
1513,47082
1514,47614
1515,48697
1516,46555
1517,41605
1518,37180
1519,28708
1520,18310
1521,14138
1522,10204
1523,5816
1524,1543
1525,7
1526,1
1527,1
1528,1
1529,1
1530,1
1531,1
1532,1
1533,1
1534,1
1535,1
1536,1
1537,1
1538,1
1539,1
1540,1
1541,1
1542,1
1543,1
1544,1
1545,1
1546,1
1547,1
1548,12
1549,1670
1550,5623
1551,9866
1552,21432
1553,17703
1554,21192
1555,20260
1556,32124
1557,28387
1558,38456
1559,39775
1560,18310
1561,48697
1562,46035
1563,47614
1564,45520
1565,43518
1566,37180
1567,28708
1568,18727
1569,14138
1570,9866
1571,5816
1572,1476
1573,8
1574,1
1575,1
1576,1
1577,1
1578,1
1579,1
1580,1
1581,1
1582,1
1583,1
1584,1
1585,1
1586,1
1587,1
1588,1
1589,1
1590,1
1591,1
1592,1
1593,1
1594,1
1595,1
1596,11
1597,1247
1598,5376
1599,11291
1600,14460
1601,26239
1602,25369
1603,29033
1604,29693
1605,31059
1606,28387
1607,30712
1608,33226
1609,28070
1610,30712
1611,28070
1612,33982
1613,25369
1614,29693
1615,18727
1616,23449
1617,17505
1618,10090
1619,6732
1620,2067
1621,7
1622,1
1623,1
1624,1
1625,1
1626,1
1627,1
1628,1
1629,1
1630,1
1631,1
1632,1
1633,1
1634,1
1635,1
1636,1
1637,1
1638,1
1639,1
1640,1
1641,1
1642,1
1643,1
1644,10
1645,1139
1646,4391
1647,7121
1648,14788
1649,17116
1650,20034
1651,23186
1652,22167
1653,40225
1654,42551
1655,40225
1656,15469
1657,35148
1658,30029
1659,49247
1660,45011
1661,44010
1662,37601
1663,28387
1664,14298
1665,16180
1666,10674
1667,5561
1668,1459
1669,7
1670,1
1671,1
1672,1
1673,1
1674,1
1675,1
1676,1
1677,1
1678,1
1679,1
1680,1
1681,1
1682,1
1683,1
1684,1
1685,1
1686,1
1687,1
1688,1
1689,1
1690,1
1691,1
1692,15
1693,1651
1694,9017
1695,16363
1696,18310
1697,20955
1698,20260
1699,26239
1700,4645
1701,1304
1702,6
1703,1
1704,1
1705,1
1706,1
1707,1
1708,1
1709,1
1710,1
1711,1
1712,1
1713,1
1714,1
1715,1
1716,1
1717,1
1718,1
1719,1
1720,1
1721,1
1722,1
1723,4
1724,710
1725,4246
1726,7449
1727,11548
1728,8817
1729,13824
1730,16548
1731,27446
1732,24805
1733,40679
1734,43032
1735,21674
1736,18938
1737,44508
1738,46555
1739,44508
1740,44508
1741,40679
1742,19369
1743,20260
1744,15296
1745,10320
1746,4294
1747,1395
1748,7
1749,1
1750,1
1751,1
1752,1
1753,1
1754,1
1755,1
1756,1
1757,1
1758,1
1759,1
1760,1
1761,1
1762,1
1763,1
1764,1
1765,1
1766,1
1767,1
1768,1
1769,1
1770,1
1771,3
1772,703
1773,4059
1774,10917
1775,14623
1776,19810
1777,34755
1778,39775
1779,20034
1780,43032
1781,26536
1782,39775
1783,16548
1784,15125
1785,35148
1786,46555
1787,47082
1788,44010
1789,40679
1790,28708
1791,20721
1792,14956
1793,9866
1794,6582
1795,1933
1796,7
1797,1
1798,1
1799,1
1800,1
1801,1
1802,1
1803,1
1804,1
1805,1
1806,1
1807,1
1808,1
1809,1
1810,1
1811,1
1812,1
1813,1
1814,1
1815,1
1816,1
1817,1
1818,1
1819,11
1820,1219
1821,6153
1822,12635
1823,10917
1824,26836
1825,19153
1826,33226
1827,18517
1828,40225
1829,40225
1830,38456
1831,16924
1832,16180
1833,19588
1834,45011
1835,48697
1836,43032
1837,40225
1838,28387
1839,20260
1840,14623
1841,9756
1842,6364
1843,1651
1844,9
1845,1
1846,1
1847,1
1848,1
1849,1
1850,1
1851,1
1852,1
1853,1
1854,1
1855,1
1856,1
1857,1
1858,1
1859,1
1860,1
1861,1
1862,1
1863,1
1864,1
1865,1
1866,1
1867,12
1868,1689
1869,5949
1870,10554
1871,6808
1872,19369
1873,26836
1874,24805
1875,33602
1876,34755
1877,38891
1878,38891
1879,15820
1880,14298
1881,16363
1882,44508
1883,43032
1884,40225
1885,37601
1886,27756
1887,20721
1888,13980
1889,9756
1890,5623
1891,1509
1892,7
1893,1
1894,1
1895,1
1896,1
1897,1
1898,1
1899,1
1900,1
1901,1
1902,1
1903,1
1904,1
1905,1
1906,1
1907,1
1908,1
1909,1
1910,1
1911,1
1912,1
1913,1
1914,1
1915,12
1916,1289
1917,6222
1918,12079
1919,17703
1920,22671
1921,29693
1922,31765
1923,37180
1924,22671
1925,40679
1926,40225
1927,19369
1928,15999
1929,17903
1930,45011
1931,43518
1932,40225
1933,37601
1934,27756
1935,20034
1936,13980
1937,9539
1938,5561
1939,1427
1940,8
1941,1
1942,1
1943,1
1944,1
1945,1
1946,1
1947,1
1948,1
1949,1
1950,1
1951,1
1952,1
1953,1
1954,1
1955,1
1956,1
1957,1
1958,1
1959,1
1960,1
1961,1
1962,1
1963,6
1964,1178
1965,5561
1966,9222
1967,17903
1968,18106
1969,21432
1970,17703
1971,38891
1972,42075
1973,40679
1974,40679
1975,19810
1976,17116
1977,17903
1978,44508
1979,45011
1980,15469
1981,38891
1982,27756
1983,20260
1984,14298
1985,10090
1986,5687
1987,1492
1988,9
1989,1
1990,1
1991,1
1992,1
1993,1
1994,1
1995,1
1996,1
1997,1
1998,1
1999,1
2000,1
2001,1
2002,1
2003,1
2004,1
2005,1
2006,1
2007,1
2008,1
2009,1
2010,1
2011,13
2012,1443
2013,6885
2014,16363
2015,17505
2016,22167
2017,24527
2018,16363
2019,37180
2020,40225
2021,37601
2022,40225
2023,41139
2024,19153
2025,18517
2026,46035
2027,46035
2028,42075
2029,40679
2030,29361
2031,21192
2032,15469
2033,9978
2034,6222
2035,1689
2036,9
2037,1
2038,1
2039,1
2040,1
2041,1
2042,1
2043,1
2044,1
2045,1
2046,1
2047,1
2048,1
2049,1
2050,1
2051,1
2052,1
2053,1
2054,1
2055,1
2056,1
2057,1
2058,1
2059,7
2060,1526
2061,3668
2062,8524
2063,6153
2064,29693
2065,15999
2066,17505
2067,30368
2068,43518
2069,16180
2070,20260
2071,42551
2072,20489
2073,15296
2074,46555
2075,45520
2076,40679
2077,39330
2078,29361
2079,22671
2080,14956
2081,11291
2082,7879
2083,1476
2084,9
2085,1
2086,1
2087,1
2088,1
2089,1
2090,1
2091,1
2092,1
2093,1
2094,1
2095,1
2096,1
2097,1
2098,1
2099,1
2100,1
2101,1
2102,1
2103,1
2104,1
2105,1
2106,1
2107,28
2108,1727
2109,6293
2110,8429
2111,13516
2112,25655
2113,32488
2114,32124
2115,37180
2116,35545
2117,41139
2118,39775
2119,42551
2120,36765
2121,15125
2122,47082
2123,46035
2124,40225
2125,40225
2126,30368
2127,22167
2128,14788
2129,10320
2130,6016
2131,1633
2132,11
2133,1
2134,1
2135,1
2136,1
2137,1
2138,1
2139,1
2140,1
2141,1
2142,1
2143,1
2144,1
2145,1
2146,1
2147,1
2148,1
2149,1
2150,1
2151,1
2152,1
2153,1
2154,1
2155,8
2156,1089
2157,7968
2158,12216
2159,14298
2160,18517
2161,27756
2162,21192
2163,26536
2164,36354
2165,37601
2166,39330
2167,42075
2168,45520
2169,15999
2170,47082
2171,47082
2172,41139
2173,38891
2174,31059
2175,22927
2176,15125
2177,10320
2178,6084
2179,1633
2180,10
2181,1
2182,1
2183,1
2184,1
2185,1
2186,1
2187,1
2188,1
2189,1
2190,1
2191,1
2192,1
2193,1
2194,1
2195,1
2196,1
2197,1
2198,1
2199,1
2200,1
2201,1
2202,1
2203,25
2204,2313
2205,8058
2206,10917
2207,27139
2208,36765
2209,26536
2210,23186
2211,39775
2212,39775
2213,16180
2214,39330
2215,43518
2216,47614
2217,17903
2218,48697
2219,49804
2220,42551
2221,41605
2222,31410
2223,24253
2224,15469
2225,10554
2226,6885
2227,1561
2228,10
2229,1
2230,1
2231,1
2232,1
2233,1
2234,1
2235,1
2236,1
2237,1
2238,1
2239,1
2240,1
2241,1
2242,1
2243,1
2244,1
2245,1
2246,1
2247,1
2248,1
2249,1
2250,1
2251,35
2252,1670
2253,5816
2254,11548
2255,20489
2256,29693
2257,39330
2258,33602
2259,39775
2260,38891
2261,37601
2262,39775
2263,44508
2264,50937
2265,38026
2266,49247
2267,48152
2268,41605
2269,45520
2270,32855
2271,24253
2272,15296
2273,10436
2274,6222
2275,1786
2276,12
2277,1
2278,1
2279,1
2280,1
2281,1
2282,1
2283,1
2284,1
2285,1
2286,1
2287,1
2288,1
2289,1
2290,1
2291,1
2292,1
2293,1
2294,1
2295,1
2296,1
2297,1
2298,1
2299,50
2300,2340
2301,5623
2302,8817
2303,12922
2304,21674
2305,19810
2306,13980
2307,20034
2308,38026
2309,39775
2310,40225
2311,39775
2312,50367
2313,48152
2314,49804
2315,47082
2316,43032
2317,43032
2318,29693
2319,23186
2320,15296
2321,10436
2322,5882
2323,1596
2324,10
2325,1
2326,1
2327,1
2328,1
2329,1
2330,1
2331,1
2332,1
2333,1
2334,1
2335,1
2336,1
2337,1
2338,1
2339,1
2340,1
2341,1
2342,1
2343,1
2344,1
2345,1
2346,1
2347,49
2348,2678
2349,8058
2350,16180
2351,16548
2352,30029
2353,25655
2354,35947
2355,35148
2356,43518
2357,41139
2358,40679
2359,44508
2360,47614
2361,48152
2362,50937
2363,49804
2364,41139
2365,41139
2366,31410
2367,24527
2368,15999
2369,10795
2370,6084
2371,1727
2372,10
2373,1
2374,1
2375,1
2376,1
